URL,Method,Count
"api/v1/student/quest?includes=my_submission%2Cdynamic_link&chapter_id=efe016a0-5d6d-11ec-a4e6-59030b66559c",GET,646
"api/v1/student/submission/d6685f90-8332-11ec-8476-6b7225f547f5/next-question?includes=options%2Ctotal_points%2Csubmission_stats",GET,48
"api/v1/teacher/chapter?subjects=76e5d330-db05-11eb-b094-155a1661ea18&includes=subject%2Cgrade&per_page=4294967296&type=all&curated_by_me=0",GET,47
"api/v1/admin/question?includes=concepts,chapter&page=1&latest=true&chapter_id=a51ef4e0-4114-11eb-bbdc-3156ad5fffad&publication_id=027e1f10-2c5d-11ec-bed8-957dce86712c",GET,29
"api/v1/teacher/question?includes=concepts%2Cpublications%2Cteacher&chapter_ids=a51ef4e0-4114-11eb-bbdc-3156ad5fffad&latest=true&per_page=15&page=1",GET,15
"api/v1/student/quest?includes=my_submission%2C+dynamic_link&chapter_id=efe016a0-5d6d-11ec-a4e6-59030b66559c",GET,11
"api/v1/teacher/my-quest/3be486b0-84b2-11ec-86fa-1df7858338ff/questions?includes=stats%2Coptions",GET,10
"api/v1/student/submission/3b35b610-8437-11ec-9eb5-fdc9d80b0625/next-question?includes=options%2Ctotal_points%2Csubmission_stats",GET,7
"api/v1/teacher/my-quest/0b1019e0-8411-11ec-b37b-3fa0761344e7/questions?includes=stats%2Coptions",GET,7
"api/v1/admin/question?includes=concepts,chapter&page=3&latest=true&chapter_id=a51ef4e0-4114-11eb-bbdc-3156ad5fffad&publication_id=027e1f10-2c5d-11ec-bed8-957dce86712c",GET,6
"api/v1/student/submission/037e49f0-8334-11ec-ad0a-2d62469d167e/next-question?includes=options%2Ctotal_points%2Csubmission_stats",GET,6
"api/v1/admin/dynamic-banner",POST,4
"api/v1/school",POST,4
"api/v1/student/submission/f0004ba0-8378-11ec-b5e2-c128936ba289/next-question?includes=options%2Ctotal_points%2Csubmission_stats",GET,4
"api/v1/teacher/question?includes=concepts%2Cpublications%2Cteacher&chapter_ids=a51ef4e0-4114-11eb-bbdc-3156ad5fffad&latest=true&per_page=15&page=2",GET,4
"api/v2/verify-otp",POST,4
"api/v1/admin/question?includes=concepts,chapter&page=2&latest=true&chapter_id=a51ef4e0-4114-11eb-bbdc-3156ad5fffad&publication_id=027e1f10-2c5d-11ec-bed8-957dce86712c",GET,3
"api/v1/admin/question?includes=concepts,chapter&page=4&latest=true&chapter_id=a51ef4e0-4114-11eb-bbdc-3156ad5fffad&publication_id=027e1f10-2c5d-11ec-bed8-957dce86712c",GET,3
"api/v1/student/submission/b1ede5e0-8334-11ec-99e7-e1216360cb62/next-question?includes=options%2Ctotal_points%2Csubmission_stats",GET,3
"api/v1/teacher/my-quest/bbe50720-84ad-11ec-a507-0d9470f49083/questions?includes=stats%2Coptions",GET,3
